Cat	Gato	Neko	Katze
Dog	Perro	Inu	Hund
Rabbit	Conejo	Usagi	Kaninchen
Rat	Rata	Nezumi	Ratte
Fox	Zorro	Kitsune	Fuchs
Wolf	Lobo	Ookami	Wolf
Bear	Oso	Kuma	Bar
Deer	Ciervo	Shika	Hirsch
Lion	Leon	Raion	Lowe
Tiger	Tigre	Tora	Tiger
Monkey	Mono	Saru	Affe
Horse	Caballo	Uma	Pferd
Sheep	Oveja	Hitsuji	Schaf
Chicken	Pollo	Niwatori	Huhnchen
Cow	Vaca	Ushi	Kuh
Pig	Cerdo	Buta	Schwein
Goat	Cabra	Yagi	Ziege
Bird	Pajaro	Tori	Vogel
Fish	Pez	Sakana	Fisch
Turtle	Tortuga	Kame	Schildkrote
Snake	Serpiente	Hebi	Schlange
Water	Agua	Mizu	Wasser
Juice	Zumo	Juusu	Saft
Milk	Leche	Gyuunyuu	Milch
Coffee	Cafe	Koohii	Kaffee
Tea	Te	Ocha	Tee
Meat	Carne	Niku	Fleisch
Cheese	Queso	Chiizu	Kase
Rice	Arroz	Gohan	Reis
Cake	Pastel	Keeki	Kuchen
Bread	Pan	Pan	Brot
Egg	Huevo	Tamago	Ei
Fruit	Frutas	Kudamono	Frucht
Vegetables	Vegetales	Yasai	Gemuse
Salad	Ensalada	Sarada	Salat
